Id,Age,Trabajo,Estado Civil,Educación,Saldo Bancario,Prestamo vivienda,Prestamo auto,Comunicación,Fecha Ultimo contacto,N de contactos,Dias transcurridos,Intentos previos,Resultado,Llamada comenzada2,Llamada terminada2,Seguro contratado,Orden_Comunicación
269,66,"Tecnico","Casado","Secuandaria",0,"NO","NO","celular","2021-02-06 00:00:00,000",1,-1,0,"NA","1899-12-30 11:06:59,000","1899-12-30 11:19:30,000","SI",1
86,34,"Administrador","Divorciado","Secuandaria",0,"NO","NO","celular","2021-07-10 00:00:00,000",1,-1,0,"NA","1899-12-30 17:50:22,000","1899-12-30 17:54:50,000","NO",1
805,32,"Estudiante","Soltero","Secuandaria",0,"NO","NO","celular","2021-11-21 00:00:00,000",1,-1,0,"NA","1899-12-30 09:31:30,000","1899-12-30 09:34:56,000","NO",1
2277,59,"Prestador de Servicios","Soltero","Secuandaria",0,"NO","NO","celular","2021-05-22 00:00:00,000",1,-1,0,"NA","1899-12-30 17:50:16,000","1899-12-30 17:55:36,000","NO",1
3842,55,"Tecnico","Casado","Secuandaria",0,"SI","SI","celular","2021-03-02 00:00:00,000",1,-1,0,"NA","1899-12-30 13:15:28,000","1899-12-30 13:17:24,000","SI",1
3810,38,"Tecnico","Casado","Secuandaria",0,"SI","NO","celular","2021-07-22 00:00:00,000",1,-1,0,"NA","1899-12-30 12:30:51,000","1899-12-30 12:56:36,000","SI",1
3800,30,"Trabajador obrero","Casado","Secuandaria",0,"SI","SI","celular","2021-07-10 00:00:00,000",1,-1,0,"NA","1899-12-30 13:19:54,000","1899-12-30 13:43:13,000","SI",1
3847,55,"Prestador de Servicios","Casado","Secuandaria",0,"NO","NO","celular","2021-07-08 00:00:00,000",1,-1,0,"NA","1899-12-30 09:54:59,000","1899-12-30 09:56:45,000","NO",1
4923,35,"Trabajador obrero","Casado","Secuandaria",0,"SI","NO","celular","2021-04-17 00:00:00,000",1,-1,0,"NA","1899-12-30 09:59:28,000","1899-12-30 10:02:51,000","NA",1
4906,35,"Tecnico","Casado","Secuandaria",0,"NO","NO","celular","2021-11-20 00:00:00,000",1,-1,0,"NA","1899-12-30 10:03:52,000","1899-12-30 10:08:03,000","NA",1
4904,27,"Desempleado","Soltero","Secuandaria",0,"SI","NO","celular","2021-05-06 00:00:00,000",1,-1,0,"NA","1899-12-30 12:09:30,000","1899-12-30 12:12:03,000","NA",1
4748,28,"Estudiante","Soltero","Secuandaria",0,"NO","NO","celular","2021-04-20 00:00:00,000",1,-1,0,"NA","1899-12-30 14:02:27,000","1899-12-30 14:05:32,000","NA",1
4727,36,"Tecnico","Soltero","Secuandaria",0,"NO","NO","celular","2021-07-08 00:00:00,000",1,-1,0,"NA","1899-12-30 09:41:36,000","1899-12-30 09:43:37,000","NA",1
4469,34,"Prestador de Servicios","Casado","Secuandaria",0,"SI","NO","celular","2021-11-21 00:00:00,000",1,-1,0,"NA","1899-12-30 16:23:21,000","1899-12-30 16:27:29,000","NA",1
4401,59,"Administrador","Casado","Secuandaria",0,"SI","NO","celular","2021-07-10 00:00:00,000",1,-1,0,"NA","1899-12-30 15:57:34,000","1899-12-30 16:13:56,000","NA",1
4143,36,"Tecnico","Soltero","Secuandaria",0,"NO","NO","celular","2021-08-21 00:00:00,000",1,-1,0,"NA","1899-12-30 16:05:08,000","1899-12-30 16:05:50,000","NA",1
4046,45,"Gerente","Casado","Secuandaria",0,"SI","SI","celular","2021-01-28 00:00:00,000",1,-1,0,"NA","1899-12-30 17:16:09,000","1899-12-30 17:26:34,000","NA",1
4022,68,"Retirado","Casado","Secuandaria",0,"NO","NO","celular","2021-06-22 00:00:00,000",1,-1,0,"NA","1899-12-30 17:34:13,000","1899-12-30 17:43:59,000","NA",1
3958,40,"Independiente","Casado","Secuandaria",0,"SI","NO","celular","2021-05-11 00:00:00,000",1,-1,0,"NA","1899-12-30 13:18:17,000","1899-12-30 13:29:14,000","SI",1
4635,37,"Independiente","Casado","Secuandaria",0,"SI","NO","celular","2021-07-17 00:00:00,000",1,-1,0,"NA","1899-12-30 17:54:09,000","1899-12-30 17:56:47,000","NA",1
3764,57,"Gerente","Casado","Secuandaria",0,"SI","NO","celular","2021-08-04 00:00:00,000",1,-1,0,"NA","1899-12-30 17:31:24,000","1899-12-30 17:34:01,000","NO",1
3749,35,"Tecnico","Casado","Secuandaria",0,"SI","SI","celular","2021-11-17 00:00:00,000",1,-1,0,"NA","1899-12-30 13:18:40,000","1899-12-30 13:21:59,000","NO",1
2501,28,"Prestador de Servicios","Soltero","Secuandaria",0,"NO","SI","celular","2021-07-16 00:00:00,000",1,-1,0,"NA","1899-12-30 12:12:33,000","1899-12-30 12:14:46,000","NO",1
2439,56,"Tecnico","Casado","Secuandaria",0,"SI","NO","celular","2021-04-20 00:00:00,000",1,-1,0,"NA","1899-12-30 14:26:38,000","1899-12-30 14:30:47,000","NO",1
2524,55,"Tecnico","Casado","Secuandaria",0,"NO","NO","celular","2021-11-19 00:00:00,000",1,-1,0,"NA","1899-12-30 10:23:49,000","1899-12-30 10:29:25,000","NO",1
3705,35,"Administrador","Soltero","Secuandaria",0,"SI","NO","celular","2021-05-13 00:00:00,000",1,-1,0,"NA","1899-12-30 17:50:51,000","1899-12-30 18:08:44,000","SI",1
3703,34,"Tecnico","Casado","Secuandaria",0,"SI","NO","celular","2021-07-23 00:00:00,000",1,-1,0,"NA","1899-12-30 17:49:44,000","1899-12-30 17:56:53,000","NO",1
3331,37,"Administrador","Soltero","Secuandaria",0,"NO","NO","celular","2021-10-23 00:00:00,000",1,-1,0,"NA","1899-12-30 10:35:39,000","1899-12-30 10:37:12,000","NO",1
2834,43,"Independiente","Casado","Secuandaria",0,"SI","NO","celular","2021-05-08 00:00:00,000",1,-1,0,"NA","1899-12-30 09:23:47,000","1899-12-30 09:25:58,000","NO",1
3063,49,"Tecnico","Casado","Secuandaria",0,"SI","SI","celular","2021-07-21 00:00:00,000",1,-1,0,"NA","1899-12-30 10:44:43,000","1899-12-30 10:46:18,000","NO",1
3282,31,"Gerente","Casado","Secuandaria",0,"NO","NO","celular","2021-08-11 00:00:00,000",1,-1,0,"NA","1899-12-30 10:29:49,000","1899-12-30 10:41:49,000","SI",1
4849,43,"Gerente","Divorciado","Terciaria",0,"SI","NO","celular","2021-07-21 00:00:00,000",1,-1,0,"NA","1899-12-30 16:16:26,000","1899-12-30 16:18:17,000","NA",1
2193,65,"Desempleado","Casado","Terciaria",0,"NO","NO","celular","2021-08-10 00:00:00,000",1,-1,0,"NA","1899-12-30 15:42:56,000","1899-12-30 15:50:41,000","NO",1
2270,46,"Desempleado","Casado","Terciaria",0,"SI","NO","celular","2021-07-10 00:00:00,000",1,-1,0,"NA","1899-12-30 10:56:53,000","1899-12-30 10:58:18,000","NO",1
2365,35,"Gerente","Casado","Terciaria",0,"NO","NO","celular","2021-05-22 00:00:00,000",1,-1,0,"NA","1899-12-30 14:30:46,000","1899-12-30 14:32:24,000","NO",1
2291,45,"Independiente","Casado","Terciaria",0,"SI","NO","celular","2021-11-17 00:00:00,000",1,-1,0,"NA","1899-12-30 12:32:41,000","1899-12-30 12:34:55,000","NO",1
1349,72,"Retirado","Casado","Terciaria",0,"NO","NO","celular","2021-02-13 00:00:00,000",1,-1,0,"NA","1899-12-30 16:39:50,000","1899-12-30 16:41:29,000","SI",1
810,36,"Tecnico","Casado","Terciaria",0,"NO","NO","celular","2021-08-20 00:00:00,000",1,-1,0,"NA","1899-12-30 16:19:46,000","1899-12-30 16:23:51,000","NO",1
773,34,"Independiente","Casado","Terciaria",0,"SI","NO","celular","2021-07-10 00:00:00,000",1,-1,0,"NA","1899-12-30 11:29:26,000","1899-12-30 11:31:01,000","NO",1
314,40,"Gerente","Casado","Terciaria",0,"SI","NO","celular","2021-02-02 00:00:00,000",1,-1,0,"NA","1899-12-30 15:39:54,000","1899-12-30 15:44:33,000","NO",1
802,47,"Gerente","Casado","Terciaria",0,"NO","SI","celular","2021-08-21 00:00:00,000",1,-1,0,"NA","1899-12-30 10:56:31,000","1899-12-30 11:02:45,000","SI",1
1463,35,"Prestador de Servicios","Soltero","Terciaria",0,"NO","NO","celular","2021-07-03 00:00:00,000",1,-1,0,"NA","1899-12-30 17:20:34,000","1899-12-30 17:32:18,000","SI",1
1781,33,"Gerente","Casado","Terciaria",0,"SI","NO","celular","2021-07-09 00:00:00,000",1,-1,0,"NA","1899-12-30 12:53:18,000","1899-12-30 12:58:28,000","NO",1
4002,40,"Gerente","Casado","Terciaria",0,"SI","SI","celular","2021-07-24 00:00:00,000",1,-1,0,"NA","1899-12-30 09:13:44,000","1899-12-30 09:14:37,000","NA",1
4064,40,"Gerente","Soltero","Terciaria",0,"NO","SI","celular","2021-11-17 00:00:00,000",1,-1,0,"NA","1899-12-30 11:41:57,000","1899-12-30 11:52:54,000","NA",1
4720,29,"Independiente","Soltero","Terciaria",0,"SI","NO","celular","2021-07-08 00:00:00,000",1,-1,0,"NA","1899-12-30 13:51:22,000","1899-12-30 13:55:13,000","NA",1
4619,36,"Administrador","Casado","Terciaria",0,"SI","NO","celular","2021-07-22 00:00:00,000",1,-1,0,"NA","1899-12-30 13:56:43,000","1899-12-30 13:57:45,000","NA",1
4600,43,"Gerente","Casado","Terciaria",0,"NO","NO","celular","2021-07-18 00:00:00,000",1,-1,0,"NA","1899-12-30 14:01:08,000","1899-12-30 14:02:58,000","NA",1
4501,32,"Independiente","Soltero","Terciaria",0,"SI","NO","celular","2021-05-06 00:00:00,000",1,-1,0,"NA","1899-12-30 14:08:16,000","1899-12-30 14:21:03,000","NA",1
3420,33,"Gerente","Soltero","Terciaria",0,"SI","NO","celular","2021-05-13 00:00:00,000",1,-1,0,"NA","1899-12-30 12:13:54,000","1899-12-30 12:23:39,000","SI",1
2709,46,"Gerente","Casado","Terciaria",0,"NO","NO","celular","2021-05-26 00:00:00,000",1,-1,0,"NA","1899-12-30 13:03:52,000","1899-12-30 13:10:33,000","NO",1
4666,34,"Trabajador obrero","Divorciado","NA",172,"NO","NO","celular","2021-06-15 00:00:00,000",1,-1,0,"NA","1899-12-30 10:34:42,000","1899-12-30 10:37:39,000","NA",1
4191,50,"Desempleado","Divorciado","NA",1088,"NO","NO","celular","2021-02-02 00:00:00,000",1,-1,0,"NA","1899-12-30 11:09:34,000","1899-12-30 11:22:03,000","NA",1
2738,41,"Gerente","Divorciado","NA",465,"SI","NO","celular","2021-07-22 00:00:00,000",1,-1,0,"NA","1899-12-30 16:44:41,000","1899-12-30 17:09:49,000","SI",1
1360,43,"Tecnico","Divorciado","NA",4389,"NO","NO","celular","2021-04-08 00:00:00,000",1,-1,0,"NA","1899-12-30 17:34:02,000","1899-12-30 17:44:20,000","SI",1
3970,38,"Gerente","Divorciado","Primaria",2064,"SI","NO","celular","2021-05-11 00:00:00,000",1,-1,0,"NA","1899-12-30 09:51:17,000","1899-12-30 09:56:13,000","NO",1
4685,52,"Retirado","Divorciado","Primaria",-779,"SI","SI","celular","2021-04-17 00:00:00,000",1,-1,0,"NA","1899-12-30 11:18:35,000","1899-12-30 11:30:24,000","NA",1
4916,78,"Retirado","Divorciado","Primaria",1389,"NO","NO","celular","2021-04-08 00:00:00,000",1,-1,0,"NA","1899-12-30 17:00:44,000","1899-12-30 17:06:19,000","NA",1
279,50,"Ama de casa","Divorciado","Primaria",120,"SI","NO","celular","2021-07-21 00:00:00,000",1,-1,0,"NA","1899-12-30 12:52:02,000","1899-12-30 12:53:41,000","NO",1
529,47,"Trabajador obrero","Divorciado","Primaria",603,"SI","SI","celular","2021-05-08 00:00:00,000",1,-1,0,"NA","1899-12-30 12:53:09,000","1899-12-30 13:11:09,000","SI",1
873,61,"Retirado","Divorciado","Primaria",3624,"NO","NO","celular","2021-11-25 00:00:00,000",1,-1,0,"NA","1899-12-30 12:01:05,000","1899-12-30 12:06:47,000","SI",1
2643,56,"Trabajador obrero","Divorciado","Primaria",-9,"SI","SI","celular","2021-05-08 00:00:00,000",1,-1,0,"NA","1899-12-30 09:28:10,000","1899-12-30 09:40:18,000","SI",1
2956,43,"Trabajador obrero","Divorciado","Primaria",177,"NO","NO","celular","2021-02-03 00:00:00,000",1,-1,0,"NA","1899-12-30 10:56:21,000","1899-12-30 10:58:25,000","NO",1
3276,49,"Trabajador obrero","Divorciado","Primaria",235,"NO","NO","celular","2021-01-29 00:00:00,000",1,-1,0,"NA","1899-12-30 10:41:10,000","1899-12-30 10:51:36,000","NO",1
3383,36,"Trabajador obrero","Divorciado","Primaria",666,"SI","NO","celular","2021-05-11 00:00:00,000",1,-1,0,"NA","1899-12-30 11:25:57,000","1899-12-30 11:30:42,000","NO",1
3429,70,"Ama de casa","Divorciado","Primaria",1311,"NO","NO","celular","2021-08-11 00:00:00,000",1,-1,0,"NA","1899-12-30 15:06:21,000","1899-12-30 15:17:12,000","SI",1
3500,70,"Retirado","Divorciado","Primaria",275,"NO","NO","celular","2021-04-15 00:00:00,000",1,-1,0,"NA","1899-12-30 15:31:42,000","1899-12-30 15:33:04,000","SI",1
1207,75,"Retirado","Divorciado","Primaria",37127,"NO","NO","celular","2021-02-11 00:00:00,000",1,-1,0,"NA","1899-12-30 14:44:12,000","1899-12-30 14:52:37,000","NO",1
1492,83,"Retirado","Divorciado","Primaria",46,"NO","NO","celular","2021-03-25 00:00:00,000",1,-1,0,"NA","1899-12-30 14:27:05,000","1899-12-30 14:29:00,000","SI",1
1522,75,"Retirado","Divorciado","Primaria",852,"NO","NO","celular","2021-03-15 00:00:00,000",1,-1,0,"NA","1899-12-30 09:34:33,000","1899-12-30 09:40:14,000","NO",1
1800,68,"Retirado","Divorciado","Primaria",695,"NO","NO","celular","2021-04-09 00:00:00,000",1,-1,0,"NA","1899-12-30 14:43:16,000","1899-12-30 14:47:09,000","SI",1
3132,49,"Administrador","Divorciado","Secuandaria",1718,"NO","SI","celular","2021-08-05 00:00:00,000",1,-1,0,"NA","1899-12-30 11:09:27,000","1899-12-30 11:12:58,000","SI",1
3232,32,"Administrador","Divorciado","Secuandaria",714,"NO","NO","celular","2021-02-02 00:00:00,000",1,-1,0,"NA","1899-12-30 13:29:28,000","1899-12-30 13:33:09,000","NO",1
3240,59,"Retirado","Divorciado","Secuandaria",5583,"SI","NO","celular","2021-04-30 00:00:00,000",1,-1,0,"NA","1899-12-30 10:43:40,000","1899-12-30 10:55:40,000","SI",1
3330,32,"Administrador","Divorciado","Secuandaria",2017,"NO","SI","celular","2021-07-17 00:00:00,000",1,-1,0,"NA","1899-12-30 14:23:10,000","1899-12-30 14:34:36,000","NO",1
3455,31,"Emprendedor","Divorciado","Secuandaria",290,"SI","NO","celular","2021-04-13 00:00:00,000",1,-1,0,"NA","1899-12-30 09:40:18,000","1899-12-30 09:44:08,000","NO",1
3528,58,"Prestador de Servicios","Divorciado","Secuandaria",462,"NO","NO","celular","2021-08-12 00:00:00,000",1,-1,0,"NA","1899-12-30 10:58:42,000","1899-12-30 11:04:14,000","SI",1
3607,44,"Tecnico","Divorciado","Secuandaria",275,"NO","NO","celular","2021-11-17 00:00:00,000",1,-1,0,"NA","1899-12-30 17:51:05,000","1899-12-30 18:09:02,000","SI",1
3739,26,"NA","Divorciado","Secuandaria",-295,"SI","NO","celular","2021-05-07 00:00:00,000",1,-1,0,"NA","1899-12-30 09:59:39,000","1899-12-30 10:08:55,000","NO",1
3862,55,"Retirado","Divorciado","Secuandaria",-268,"NO","SI","celular","2021-07-24 00:00:00,000",1,-1,0,"NA","1899-12-30 16:59:55,000","1899-12-30 17:23:32,000","SI",1
3850,41,"Administrador","Divorciado","Secuandaria",490,"SI","NO","celular","2021-08-04 00:00:00,000",1,-1,0,"NA","1899-12-30 13:37:29,000","1899-12-30 13:40:31,000","NO",1
2923,46,"Administrador","Divorciado","Secuandaria",2232,"NO","NO","celular","2021-02-13 00:00:00,000",1,-1,0,"NA","1899-12-30 15:12:15,000","1899-12-30 15:14:16,000","SI",1
2907,77,"Retirado","Divorciado","Secuandaria",3417,"NO","NO","celular","2021-11-12 00:00:00,000",1,-1,0,"NA","1899-12-30 16:19:12,000","1899-12-30 16:21:26,000","SI",1
2901,51,"Tecnico","Divorciado","Secuandaria",7928,"SI","NO","celular","2021-11-20 00:00:00,000",1,-1,0,"NA","1899-12-30 14:18:37,000","1899-12-30 14:20:41,000","NO",1
1734,34,"Trabajador obrero","Divorciado","Secuandaria",368,"NO","SI","celular","2021-07-07 00:00:00,000",1,-1,0,"NA","1899-12-30 12:44:17,000","1899-12-30 13:20:58,000","NO",1
1583,43,"Desempleado","Divorciado","Secuandaria",1854,"NO","NO","celular","2021-04-30 00:00:00,000",1,-1,0,"NA","1899-12-30 16:35:38,000","1899-12-30 16:41:01,000","SI",1
1556,47,"Retirado","Divorciado","Secuandaria",47,"NO","NO","celular","2021-01-29 00:00:00,000",1,-1,0,"NA","1899-12-30 14:20:30,000","1899-12-30 14:28:39,000","NO",1
1506,48,"Desempleado","Divorciado","Secuandaria",201,"NO","NO","celular","2021-08-11 00:00:00,000",1,-1,0,"NA","1899-12-30 10:59:39,000","1899-12-30 11:01:59,000","SI",1
1368,59,"Retirado","Divorciado","Secuandaria",23,"NO","NO","celular","2021-07-07 00:00:00,000",1,-1,0,"NA","1899-12-30 15:16:23,000","1899-12-30 15:17:29,000","NO",1
1228,39,"Emprendedor","Divorciado","Secuandaria",-271,"SI","NO","celular","2021-05-07 00:00:00,000",1,-1,0,"NA","1899-12-30 11:53:29,000","1899-12-30 12:00:15,000","NO",1
1774,42,"Prestador de Servicios","Divorciado","Secuandaria",466,"NO","NO","celular","2021-01-28 00:00:00,000",1,-1,0,"NA","1899-12-30 15:30:23,000","1899-12-30 15:31:11,000","NO",1
1203,38,"Administrador","Divorciado","Secuandaria",485,"SI","NO","celular","2021-02-02 00:00:00,000",1,-1,0,"NA","1899-12-30 14:06:35,000","1899-12-30 14:10:47,000","NO",1
913,48,"Trabajador obrero","Divorciado","Secuandaria",2071,"NO","NO","celular","2021-05-14 00:00:00,000",1,-1,0,"NA","1899-12-30 17:05:21,000","1899-12-30 17:07:28,000","NO",1
886,53,"Desempleado","Divorciado","Secuandaria",587,"NO","NO","celular","2021-11-19 00:00:00,000",1,-1,0,"NA","1899-12-30 17:54:02,000","1899-12-30 18:03:23,000","SI",1
712,31,"Tecnico","Divorciado","Secuandaria",105,"SI","NO","celular","2021-07-16 00:00:00,000",1,-1,0,"NA","1899-12-30 16:04:00,000","1899-12-30 16:05:12,000","NO",1
707,32,"Administrador","Divorciado","Secuandaria",1288,"SI","NO","celular","2021-05-12 00:00:00,000",1,-1,0,"NA","1899-12-30 14:27:02,000","1899-12-30 14:31:48,000","NO",1
635,63,"Retirado","Divorciado","Secuandaria",1490,"NO","NO","celular","2021-06-08 00:00:00,000",1,-1,0,"NA","1899-12-30 16:38:20,000","1899-12-30 16:46:46,000","SI",1
625,54,"Administrador","Divorciado","Secuandaria",200,"NO","NO","celular","2021-06-03 00:00:00,000",1,-1,0,"NA","1899-12-30 10:17:31,000","1899-12-30 10:20:21,000","SI",1
1031,36,"Prestador de Servicios","Divorciado","Secuandaria",82,"SI","NO","celular","2021-07-10 00:00:00,000",1,-1,0,"NA","1899-12-30 12:02:35,000","1899-12-30 12:06:21,000","NO",1
3931,52,"Prestador de Servicios","Divorciado","Secuandaria",36,"SI","SI","celular","2021-05-11 00:00:00,000",1,-1,0,"NA","1899-12-30 15:21:04,000","1899-12-30 15:36:34,000","SI",1
1810,42,"Tecnico","Divorciado","Secuandaria",214,"NO","NO","celular","2021-04-16 00:00:00,000",1,-1,0,"NA","1899-12-30 10:39:49,000","1899-12-30 10:41:56,000","SI",1
1893,56,"Ama de casa","Divorciado","Secuandaria",977,"NO","NO","celular","2021-07-07 00:00:00,000",1,-1,0,"NA","1899-12-30 09:44:51,000","1899-12-30 10:04:51,000","NO",1
2839,29,"Prestador de Servicios","Divorciado","Secuandaria",92,"SI","NO","celular","2021-05-07 00:00:00,000",1,-1,0,"NA","1899-12-30 15:07:40,000","1899-12-30 15:11:40,000","NO",1
2743,59,"Retirado","Divorciado","Secuandaria",1,"NO","NO","celular","2021-08-19 00:00:00,000",1,-1,0,"NA","1899-12-30 16:19:44,000","1899-12-30 16:25:19,000","SI",1
2740,61,"Tecnico","Divorciado","Secuandaria",6481,"NO","NO","celular","2021-10-19 00:00:00,000",1,-1,0,"NA","1899-12-30 15:41:30,000","1899-12-30 15:43:41,000","SI",1
2575,42,"Trabajador obrero","Divorciado","Secuandaria",1261,"SI","SI","celular","2021-07-10 00:00:00,000",1,-1,0,"NA","1899-12-30 17:44:20,000","1899-12-30 17:48:52,000","NO",1
2570,48,"Administrador","Divorciado","Secuandaria",362,"NO","NO","celular","2021-08-13 00:00:00,000",1,-1,0,"NA","1899-12-30 11:49:31,000","1899-12-30 11:58:20,000","SI",1
2477,45,"Administrador","Divorciado","Secuandaria",2519,"NO","NO","celular","2021-11-21 00:00:00,000",1,-1,0,"NA","1899-12-30 11:25:20,000","1899-12-30 11:33:10,000","NO",1
1826,45,"Administrador","Divorciado","Secuandaria",-176,"NO","SI","celular","2021-07-07 00:00:00,000",1,-1,0,"NA","1899-12-30 11:51:41,000","1899-12-30 12:01:15,000","SI",1
2462,33,"Administrador","Divorciado","Secuandaria",294,"SI","NO","celular","2021-05-08 00:00:00,000",1,-1,0,"NA","1899-12-30 09:35:53,000","1899-12-30 09:48:36,000","SI",1
2448,33,"Prestador de Servicios","Divorciado","Secuandaria",44,"NO","SI","celular","2021-07-23 00:00:00,000",1,-1,0,"NA","1899-12-30 17:14:20,000","1899-12-30 17:23:09,000","SI",1
2375,40,"Administrador","Divorciado","Secuandaria",2129,"NO","NO","celular","2021-04-30 00:00:00,000",1,-1,0,"NA","1899-12-30 14:27:41,000","1899-12-30 14:35:13,000","SI",1
2336,42,"Administrador","Divorciado","Secuandaria",936,"NO","NO","celular","2021-01-30 00:00:00,000",1,-1,0,"NA","1899-12-30 09:37:34,000","1899-12-30 09:53:05,000","SI",1
2245,46,"Administrador","Divorciado","Secuandaria",7378,"NO","NO","celular","2021-11-18 00:00:00,000",1,-1,0,"NA","1899-12-30 17:49:29,000","1899-12-30 17:57:15,000","NO",1
2199,67,"Retirado","Divorciado","Secuandaria",704,"NO","NO","celular","2021-11-03 00:00:00,000",1,-1,0,"NA","1899-12-30 14:47:42,000","1899-12-30 14:56:39,000","SI",1
2118,43,"Gerente","Divorciado","Secuandaria",51,"NO","NO","celular","2021-02-02 00:00:00,000",1,-1,0,"NA","1899-12-30 11:35:46,000","1899-12-30 11:42:56,000","SI",1
2452,35,"Administrador","Divorciado","Secuandaria",1224,"SI","NO","celular","2021-11-03 00:00:00,000",1,-1,0,"NA","1899-12-30 15:15:38,000","1899-12-30 15:18:45,000","SI",1
453,45,"Desempleado","Divorciado","Secuandaria",728,"SI","SI","celular","2021-11-18 00:00:00,000",1,-1,0,"NA","1899-12-30 10:26:57,000","1899-12-30 10:28:44,000","NO",1
3961,34,"Administrador","Divorciado","Secuandaria",-251,"NO","NO","celular","2021-07-18 00:00:00,000",1,-1,0,"NA","1899-12-30 17:07:53,000","1899-12-30 17:18:34,000","SI",1
4874,59,"Desempleado","Divorciado","Secuandaria",2026,"NO","NO","celular","2021-06-02 00:00:00,000",1,-1,0,"NA","1899-12-30 14:50:22,000","1899-12-30 14:56:57,000","NA",1
